id,answer_base,raw_output_base,parse_failed_base,fallback_used_base,gold_base,correct_base,strict_correct_base,group_id_base,question_type_base,image_meta_base,answer_lora,raw_output_lora,parse_failed_lora,fallback_used_lora,gold_lora,correct_lora,strict_correct_lora,group_id_lora,question_type_lora,image_meta_lora,transition
train_1094.jpg,d,d,False,False,c,False,False,g_train_1094.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",c,c,False,False,c,True,True,g_train_1094.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",gain
train_1668.jpg,a,a,False,False,a,True,True,g_train_1668.jpg,negation,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",c,c,False,False,a,False,False,g_train_1668.jpg,negation,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",loss
train_2226.jpg,d,d,False,False,d,True,True,g_train_2226.jpg,position,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",a,a,False,False,d,False,False,g_train_2226.jpg,position,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",loss
train_2241.jpg,a,a,False,False,a,True,True,g_train_2241.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",c,c,False,False,a,False,False,g_train_2241.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",loss
train_2290.jpg,d,d,False,False,c,False,False,g_train_2290.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",c,c,False,False,c,True,True,g_train_2290.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",gain
train_2339.jpg,a,a,False,False,b,False,False,g_train_2339.jpg,negation,"{""original_size"": [1279, 720], ""grid_thw"": [[1, 18, 30]], ""processed_hw"": [[288, 480]], ""visual_tokens"": 135}",b,b,False,False,b,True,True,g_train_2339.jpg,negation,"{""original_size"": [1279, 720], ""grid_thw"": [[1, 18, 30]], ""processed_hw"": [[288, 480]], ""visual_tokens"": 135}",gain
train_2446.jpg,a,a,False,False,a,True,True,g_train_2446.jpg,price,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",c,c,False,False,a,False,False,g_train_2446.jpg,price,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",loss
train_2457.jpg,a,a,False,False,d,False,False,g_train_0214.jpg,position,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",d,d,False,False,d,True,True,g_train_0214.jpg,position,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",gain
train_2652.jpg,c,c,False,False,c,True,True,g_train_2652.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",a,a,False,False,c,False,False,g_train_2652.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",loss
train_2742.jpg,b,b,False,False,d,False,False,g_train_2742.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",d,d,False,False,d,True,True,g_train_2742.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",gain
train_2768.jpg,a,a,False,False,a,True,True,g_train_2768.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",d,d,False,False,a,False,False,g_train_2768.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",loss
train_2903.jpg,c,c,False,False,c,True,True,g_train_2903.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",a,a,False,False,c,False,False,g_train_2903.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",loss
train_3114.jpg,d,d,False,False,b,False,False,g_train_3114.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",b,b,False,False,b,True,True,g_train_3114.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",gain
train_3463.jpg,d,d,False,False,c,False,False,g_train_3463.jpg,price,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",c,c,False,False,c,True,True,g_train_3463.jpg,price,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",gain
train_3863.jpg,b,b,False,False,d,False,False,g_train_3863.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",d,d,False,False,d,True,True,g_train_3863.jpg,text_other,"{""original_size"": [960, 720], ""grid_thw"": [[1, 20, 26]], ""processed_hw"": [[320, 416]], ""visual_tokens"": 130}",gain
train_4316.jpg,b,b,False,False,a,False,False,g_train_4316.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",a,a,False,False,a,True,True,g_train_4316.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",gain
train_4505.jpg,d,(d),False,False,a,False,False,g_train_4505.jpg,text_other,"{""original_size"": [720, 720], ""grid_thw"": [[1, 24, 24]], ""processed_hw"": [[384, 384]], ""visual_tokens"": 144}",a,a,False,False,a,True,True,g_train_4505.jpg,text_other,"{""original_size"": [720, 720], ""grid_thw"": [[1, 24, 24]], ""processed_hw"": [[384, 384]], ""visual_tokens"": 144}",gain
train_5084.jpg,d,d,False,False,b,False,False,g_train_5084.jpg,negation,"{""original_size"": [720, 1280], ""grid_thw"": [[1, 32, 18]], ""processed_hw"": [[512, 288]], ""visual_tokens"": 144}",b,b,False,False,b,True,True,g_train_5084.jpg,negation,"{""original_size"": [720, 1280], ""grid_thw"": [[1, 32, 18]], ""processed_hw"": [[512, 288]], ""visual_tokens"": 144}",gain
train_5089.jpg,d,d,False,False,d,True,True,g_train_5089.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",c,c,False,False,d,False,False,g_train_5089.jpg,number,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",loss
train_5091.jpg,c,c,False,False,c,True,True,g_train_5091.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",a,a,False,False,c,False,False,g_train_5091.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",loss
train_5111.jpg,c,c,False,False,c,True,True,g_train_5111.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",b,b,False,False,c,False,False,g_train_5111.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",loss
train_5189.jpg,c,c,False,False,c,True,True,g_train_5189.jpg,text_other,"{""original_size"": [1280, 720], ""grid_thw"": [[1, 18, 32]], ""processed_hw"": [[288, 512]], ""visual_tokens"": 144}",a,a,False,False,c,False,False,g_train_5189.jpg,text_other,"{""original_size"": [1280, 720], ""grid_thw"": [[1, 18, 32]], ""processed_hw"": [[288, 512]], ""visual_tokens"": 144}",loss
train_5222.jpg,d,d,False,False,a,False,False,g_train_5222.jpg,position,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",a,a,False,False,a,True,True,g_train_5222.jpg,position,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",gain
train_5542.jpg,b,b,False,False,c,False,False,g_train_5542.jpg,number,"{""original_size"": [720, 720], ""grid_thw"": [[1, 24, 24]], ""processed_hw"": [[384, 384]], ""visual_tokens"": 144}",c,c,False,False,c,True,True,g_train_5542.jpg,number,"{""original_size"": [720, 720], ""grid_thw"": [[1, 24, 24]], ""processed_hw"": [[384, 384]], ""visual_tokens"": 144}",gain
train_5585.jpg,b,b,False,False,b,True,True,g_train_5585.jpg,text_other,"{""original_size"": [1279, 720], ""grid_thw"": [[1, 18, 30]], ""processed_hw"": [[288, 480]], ""visual_tokens"": 135}",d,d,False,False,b,False,False,g_train_5585.jpg,text_other,"{""original_size"": [1279, 720], ""grid_thw"": [[1, 18, 30]], ""processed_hw"": [[288, 480]], ""visual_tokens"": 135}",loss
train_5768.jpg,b,b,False,False,a,False,False,g_train_5768.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",a,a,False,False,a,True,True,g_train_5768.jpg,text_other,"{""original_size"": [720, 960], ""grid_thw"": [[1, 26, 20]], ""processed_hw"": [[416, 320]], ""visual_tokens"": 130}",gain
