position,token_id,token,supervised
181,78900,Ġë°Ķ,True
182,55863,ê²Į,True
183,27691,íĬ¸,True
184,77792,ìĻĢ,True
185,58907,ĠëĮĢ,True
186,150484,íĮĮ,True
187,190438,ĠìĦ¸íĬ¸,True
188,172455,ĠíĮĲë§¤,True
189,149603,ì¤ĳ,True
190,198,Ċ,True
191,1818,(b,True
192,8,),True
193,58907,ĠëĮĢ,True
194,150484,íĮĮ,True
195,220,Ġ,True
196,20,5,True
197,15,0,True
198,15,0,True
199,52497,ìĽĲ,True
200,184041,ĠíķłìĿ¸,True
201,177526,ĠíĸīìĤ¬,True
202,198,Ċ,True
203,1290,(c,True
204,8,),True
205,78900,Ġë°Ķ,True
206,55863,ê²Į,True
207,209259,íĬ¸ê°Ģ,True
208,160571,ĠíĴĪ,True
209,149985,ìłĪ,True
210,150570,ìĿ´ëĿ¼,True
211,58907,ĠëĮĢ,True
212,150484,íĮĮ,True
213,16869,ë¡ľ,True
214,150589,Ġì°¸,True
215,51181,ìķĦ,True
216,169494,ì¤ĺ,True
217,471,Ġ-,True
218,54156,ë¯¸,True
219,149613,ë£¨,True
220,198,Ċ,True
221,1446,(d,True
222,8,),True
223,153927,Ġìĺ¤ëĬĺ,True
224,58907,ĠëĮĢ,True
225,150484,íĮĮ,True
226,149135,ĠìĦ¸,True
227,31020,ìĿ¼,True
228,68536,Ġì¤ĳ,True
229,151396,ìŀħëĭĪëĭ¤,True
230,271,ĊĊ,True
231,28322,ìłķ,True
232,152065,ëĭµ,True
233,17343,ìĿĦ,True
234,183844,Ġë°ĺëĵľìĭľ,True
235,264,Ġa,True
236,11,",",True
237,292,Ġb,True
238,11,",",True
239,272,Ġc,True
240,11,",",True
241,293,Ġd,True
242,68536,Ġì¤ĳ,True
243,188469,ĠíķĺëĤĺìĿĺ,True
244,148711,ĠìĨĮ,True
245,49849,ë¬¸,True
246,24896,ìŀĲ,True
247,59228,Ġíķľ,True
248,155187,Ġê¸Ģ,True
249,179747,ìŀĲë¡ľ,True
250,70091,ë§Į,True
251,207917,Ġì¶ľëł¥,True
252,88005,íķĺìĦ¸ìļĶ,True
253,13,.,True
254,248046,<|im_end|>,True
255,198,Ċ,True
256,248045,<|im_start|>,True
257,74455,assistant,True
258,198,Ċ,True
259,248068,<think>,True
260,271,ĊĊ,True
261,248069,</think>,True
262,271,ĊĊ,True
263,66,c,True
264,248046,<|im_end|>,True
265,198,Ċ,True
